HPfr15.txt-0072	percevoir            	Leur ouïe s’affinait, Harry percevait chaque souffle de vent, chaque craquement de brindille.
HPfr15.txt-0073	fulminer             	Hagrid fulminait.
HPfr15.txt-0074	raffut               	– On aura de la chance si on attrape quelque chose, avec tout le raffut que vous avez fait.
HPfr15.txt-0075	impraticable         	La forêt était de plus en plus épaisse à mesure qu’ils avançaient et le sentier devint presque impraticable.
HPfr15.txt-0076	abondant             	Harry avait l’impression que les taches de sang étaient plus abondantes.
HPfr15.txt-0077	perle                 	Ses longues jambes minces s’étaient repliées dans sa chute et sa crinière étalée formait une tache gris perle sur les feuilles sombres.
HPfr15.txt-0078	buisson              	Au bord de la clairière, un buisson frémit.
HPfr15.txt-0079	traquer              	Puis une silhouette encapuchonnée sortit de l’ombre et rampa sur le sol, comme une bête traquant un gibier.
HPfr15.txt-0080	gibier               	Puis une silhouette encapuchonnée sortit de l’ombre et rampa sur le sol, comme une bête traquant un gibier.
HPfr15.txt-0081	flanc                	La silhouette s’arrêta devant le cadavre de la licorne, pencha la tête sur le flanc déchiré de l’animal et commença à boire son sang.
HPfr15.txt-0082	darder               	La silhouette au capuchon leva la tête et darda son regard sur Harry.
HPfr15.txt-0083	paralyser            	Paralysé par la peur, Harry fut incapable de bouger.
HPfr15.txt-0084	foudroyant           	Une douleur foudroyante lui traversa alors la tête, une douleur comme il n’en avait encore jamais ressenti.
HPfr15.txt-0085	tituber              	À moitié aveuglé, il recula en titubant.
HPfr15.txt-0086	galoper              	Au même moment, il entendit des bruits de sabots qui galopaient derrière lui, puis quelque chose lui sauta par-dessus et fonça vers la silhouette.
HPfr15.txt-0087	alezan               	il avait des cheveux blonds-blancs et un corps de couleur alezan.
HPfr15.txt-0088	saphir               	Il avait des yeux d’un bleu surprenant, comme des saphirs délavés.
HPfr15.txt-0089	délavé              	Il avait des yeux d’un bleu surprenant, comme des saphirs délavés.
HPfr15.txt-0090	galop                	Il y eut alors un autre bruit de galop et Ronan et Bane surgirent des arbres, les flancs palpitants, couverts de sueur.
