HPfrb1ch17-0078	sourire        	– Mais non, sourit Hagrid, Dumbledore m’a accordé un jour de congé hier pour le préparer.
HPfrb1ch17-0079	congé          	– Mais non, sourit Hagrid, Dumbledore m’a accordé un jour de congé hier pour le préparer.
HPfrb1ch17-0080	reliure        	Il lui donna un beau livre à la reliure de cuir.
HPfrb1ch17-0081	consécutif     	Elle était décorée aux couleurs vert et argent des Serpentard pour célébrer leur septième victoire consécutive.
HPfrb1ch17-0082	importuner     	– Une autre année se termine, dit joyeusement Dumbledore, et je vais encore vous importuner avec des bavardages de vieillard avant que nous entamions enfin ce délicieux festin.
HPfrb1ch17-0083	bavardage      	– Une autre année se termine, dit joyeusement Dumbledore, et je vais encore vous importuner avec des bavardages de vieillard avant que nous entamions enfin ce délicieux festin.
HPfrb1ch17-0084	vieillard      	– Une autre année se termine, dit joyeusement Dumbledore, et je vais encore vous importuner avec des bavardages de vieillard avant que nous entamions enfin ce délicieux festin.
HPfrb1ch17-0085	décerner       	Le moment est maintenant venu de décerner la coupe des Quatre Maisons.
HPfrb1ch17-0086	décompte       	Le décompte des points nous donne le résultat suivant : en quatrième place, Gryffondor avec trois cent douze points.
HPfrb1ch17-0087	trépignement   	Un tonnerre d’applaudissements, d’acclamations et de trépignements explosa à la table des Serpentard.
HPfrb1ch17-0088	radis          	Il avait soudain l’air d’un radis qui aurait pris un coup de soleil.
HPfrb1ch17-0089	froid          	Pour la froide logique dont elle a fait preuve face à des flammes redoutables, j’accorde à Gryffondor cinquante points.
HPfrb1ch17-0090	soixante       	– Pour le sang-froid et le courage exceptionnels qu’il a manifestés, je donne à Gryffondor soixante points.
HPfrb1ch17-0091	addition       	Ceux qui étaient en état de faire des additions tout en s’égosillant savaient que Gryffondor avait à présent quatre cent soixante-douze points – exactement le même nombre que Serpentard.
HPfrb1ch17-0092	égosiller      	Ceux qui étaient en état de faire des additions tout en s’égosillant savaient que Gryffondor avait à présent quatre cent soixante-douze points – exactement le même nombre que Serpentard.
HPfrb1ch17-0093	ex aequo       	Ils étaient ex aequo.
HPfrb1ch17-0094	extérieur      	Quelqu’un qui se serait trouvé à l’extérieur de la Grande Salle aurait pu penser qu’une terrible explosion venait de se produire, tant le vacarme qui s’éleva de la table des Gryffondor était assourdissant.
HPfrb1ch17-0095	explosion      	Quelqu’un qui se serait trouvé à l’extérieur de la Grande Salle aurait pu penser qu’une terrible explosion venait de se produire, tant le vacarme qui s’éleva de la table des Gryffondor était assourdissant.
HPfrb1ch17-0096	embrassade     	Harry, Ron et Hermione se levèrent pour acclamer Neville qui avait le teint livide et disparut bientôt sous les embrassades.
HPfrb1ch17-0097	abasourdir     	Abasourdi et horrifié, il semblait figé sur place comme s’il avait subi le maléfice du Saucisson.
HPfrb1ch17-0098	altier         	Il frappa dans ses mains et en un instant, le vert et argent se transforma en rouge et or, et le grand serpent disparut, remplacé par le lion altier des Gryffondor.
HPfrb1ch17-0099	égard          	Harry croisa son regard et il sut aussitôt que les sentiments de Rogue à son égard n’avaient pas changé.
HPfrb1ch17-0100	contrariété    	Mais il n’en éprouvait aucune contrariété.
HPfrb1ch17-0101	catastrophique 	Hermione, bien entendu, avait été la meilleure et même Neville avait réussi à passer de justesse : sa bonne note en botanique rattrapait celle, catastrophique, qu’il avait obtenue en potions.
HPfrb1ch17-0102	armoire        	Bientôt, leurs armoires se vidèrent, leur valises furent fin prêtes et le crapaud de Neville s’égara dans un coin des toilettes.
HPfrb1ch17-0103	tristement     	On distribua aux élèves des avis qui les prévenaient que l’usage de la magie était interdit pendant les vacances (« Chaque année j’espère qu’ils vont oublier de nous les donner », dit tristement Fred).
HPfrb1ch17-0104	express        	Hagrid leur fit traverser le lac dans ses barques et ils s’installèrent dans le Poudlard Express qui les ramenait chez les Moldus.
HPfrb1ch17-0105	verdoyant      	Tout le monde parlait et riait tandis que le paysage devenait de plus en plus verdoyant et soigné.
HPfrb1ch17-0106	blouson        	On mangeait des Dragées surprises de Bertie Crochue et on enlevait les robes de sorcier pour remettre vestes et blousons.
HPfrb1ch17-0107	rider          	Un vieux gardien ridé les faisait passer par groupes de deux ou trois pour qu’ils n’attirent pas l’attention en surgissant soudain au milieu de la barrière.
HPfrb1ch17-0108	affoler        	Inutile d’affoler les Moldus.
HPfrb1ch17-0109	fuser          	Harry entendait fuser autour de lui des « Au revoir, Harry, à bientôt, Potter ! »
HPfrb1ch17-0110	malpoli        	– Tais-toi un peu Ginny, et ne montre pas du doigt, c’est malpoli.
HPfrb1ch17-0111	moustachu      	C’était l’oncle Vernon, toujours moustachu, toujours écarlate, toujours furieux que Harry ait l’audace de se promener avec un hibou dans une cage au milieu d’une gare remplie de gens parfaitement normaux.
